date,genotype,strain,plate,group,odorant.order,soak.order,source.plate,assay,conc,nCue,nControl,outside,dead,fungus,note,user,bench,scorer
7_27_15,N2,PAK,212,,,,,2-but,,66,35,16,0,,,PHC,PHC,PHC
7_27_15,N2,OP50,213,,,,,2-but,,97,11,2,,,,PHC,PHC,PHC
7_27_15,N2,OP50,214,,,,,2-but,,20,2,1,,,,PHC,PHC,PHC
7_27_15,N2,OP50,215,,,,,2-but,,86,17,4,,,,PHC,PHC,PHC
7_27_15,N2,PAK,216,,,,,2-but,,72,11,7,,,,PHC,PHC,PHC
7_27_15,N2,PAK,217,,,,,2-but,,72,6,0,,,,PHC,PHC,PHC
7_27_15,N2,PAK,218,,,,,2-but,,99,17,6,,,,PHC,PHC,PHC
7_29_15,N2,OP50,219,,,,,1-hex,,30,1,13,,,,PHC,PHC,PHC
7_29_15,N2,OP50,220,,,,,1-hex,,35,1,9,,,,PHC,PHC,PHC
7_29_15,N2,OP50,221,,,,,1-hex,,8,3,3,,,,PHC,PHC,PHC
7_29_15,N2,OP50,222,,,,,IAA,,57,4,2,,,,PHC,PHC,PHC
7_29_15,N2,OP50,223,,,,,IAA,,33,1,0,,,,PHC,PHC,PHC
7_29_15,N2,OP50,224,,,,,IAA,,12,0,0,,,,PHC,PHC,PHC
7_29_15,N2,JUb39,225,,,,,1-hex,,56,6,19,,,,PHC,PHC,PHC
7_29_15,N2,JUb39,226,,,,,1-hex,,60,3,23,,,,PHC,PHC,PHC
7_29_15,N2,JUb39,227,,,,,1-hex,,34,4,14,,,,PHC,PHC,PHC
7_29_15,N2,JUb39,228,,,,,IAA,,142,4,4,,,,PHC,PHC,PHC
7_29_15,N2,JUb39,229,,,,,IAA,,95,2,1,,,,PHC,PHC,PHC
7_29_15,N2,JUb39,230,,,,,IAA,,60,0,1,,,,PHC,PHC,PHC
7_29_15,N2,JUb39,231,,,,,IAA,,62,1,3,,,,PHC,PHC,PHC
7_29_15,N2,JUb39,232,,,,,IAA,,138,6,1,,,,PHC,PHC,PHC
7_29_15,N2,JUb39,233,,,,,IAA,,42,1,5,,,,PHC,PHC,PHC
7_29_15,N2,JUb39,234,,,,,1-hex,,22,3,8,,,,PHC,PHC,PHC
7_29_15,N2,JUb39,235,,,,,1-hex,,30,22,42,,,,PHC,PHC,PHC
7_29_15,N2,JUb39,236,,,,,1-hex,,32,7,9,,,,PHC,PHC,PHC
7_29_15,N2,OP50,237,,,,,IAA,,29,0,3,,,,PHC,PHC,PHC
7_29_15,N2,OP50,238,,,,,IAA,,41,0,1,,,,PHC,PHC,PHC
7_29_15,N2,OP50,239,,,,,IAA,,38,0,1,,,,PHC,PHC,PHC
7_29_15,N2,OP50,240,,,,,1-hex,,14,2,1,,,,PHC,PHC,PHC
7_29_15,N2,OP50,241,,,,,1-hex,,45,5,9,,,,PHC,PHC,PHC
7_29_15,N2,OP50,242,,,,,1-hex,,44,8,12,,,,PHC,PHC,PHC
