date,genotype,food,cond,cue,plateID,animal,response.time,pir,group,paralyzed,line
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,151,1.7,NA,NA,non-paralyzed,
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,152,6.1,NA,NA,non-paralyzed,
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,153,12.8,NA,NA,non-paralyzed,
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,154,9.8,NA,NA,non-paralyzed,
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,155,10.4,NA,NA,non-paralyzed,
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,156,2.7,NA,NA,non-paralyzed,
2018_11_13,N2,JUb39,Tyrosine,oct_1.0,66,157,14.2,NA,NA,non-paralyzed,
2018_11_13,tyra-2,OP50,Tyrosine,oct_1.0,68,158,3,NA,NA,non-paralyzed,
2018_11_13,tyra-2,OP50,Tyrosine,oct_1.0,68,159,3.9,NA,NA,non-paralyzed,
2018_11_13,tyra-2,OP50,Tyrosine,oct_1.0,68,160,3.8,NA,NA,non-paralyzed,
2018_11_13,tyra-2,OP50,Tyrosine,oct_1.0,68,161,6.6,NA,NA,non-paralyzed,
2018_11_13,tyra-2,OP50,Tyrosine,oct_1.0,68,162,4.3,NA,NA,non-paralyzed,
2018_11_13,tyra-2,OP50,Tyrosine,oct_1.0,68,163,4.9,NA,NA,non-paralyzed,
2018_11_13,tyra-2,OP50,Tyrosine,oct_1.0,68,164,1.3,NA,NA,non-paralyzed,
2018_11_13,tyra-2,OP50,Tyrosine,oct_1.0,68,165,2.9,NA,NA,non-paralyzed,
2018_11_13,tyra-2,OP50,Tyrosine,oct_1.0,68,166,2.8,NA,NA,non-paralyzed,
2018_11_13,tyra-2,OP50,Tyrosine,oct_1.0,68,167,2,NA,NA,non-paralyzed,
2018_11_13,tyra-2,OP50,Tyrosine,oct_1.0,68,168,3.5,NA,NA,non-paralyzed,
2018_11_13,tyra-2,OP50,Tyrosine,oct_1.0,68,169,2.3,NA,NA,non-paralyzed,
2018_11_13,tyra-2,OP50,Tyrosine,oct_1.0,68,170,1.3,NA,NA,non-paralyzed,
2018_11_13,tyra-2,OP50,Tyrosine,oct_1.0,68,171,3.3,NA,NA,non-paralyzed,
2018_11_13,tyra-2,OP50,Tyrosine,oct_1.0,68,172,2.6,NA,NA,non-paralyzed,
2018_11_13,tyra-2,OP50,Tyrosine,oct_1.0,68,173,5.8,NA,NA,non-paralyzed,
2018_11_13,tyra-2,OP50,Tyrosine,oct_1.0,68,174,1.5,NA,NA,non-paralyzed,
2018_11_13,tyra-2,OP50,Tyrosine,oct_1.0,68,175,3.6,NA,NA,non-paralyzed,
2018_11_13,tyra-2,JUb39,Tyrosine,oct_1.0,69,176,5.4,NA,NA,non-paralyzed,
2018_11_13,tyra-2,JUb39,Tyrosine,oct_1.0,69,177,4.4,NA,NA,non-paralyzed,
2018_11_13,tyra-2,JUb39,Tyrosine,oct_1.0,69,178,2.5,NA,NA,non-paralyzed,
2018_11_13,tyra-2,JUb39,Tyrosine,oct_1.0,69,179,4.2,NA,NA,non-paralyzed,
2018_11_13,tyra-2,JUb39,Tyrosine,oct_1.0,69,180,4.4,NA,NA,non-paralyzed,
2018_11_13,tyra-2,JUb39,Tyrosine,oct_1.0,69,181,2.5,NA,NA,non-paralyzed,
2018_11_13,tyra-2,JUb39,Tyrosine,oct_1.0,69,182,2.8,NA,NA,non-paralyzed,
2018_11_13,tyra-2,JUb39,Tyrosine,oct_1.0,69,183,5.6,NA,NA,non-paralyzed,
